Code,Title,Credits,Prof,Prerequisites,Description,Colour
HH/SC NRSC 2000,Fundamental Molecular and Cellular Neuroscience,3,George R. Zoidl,"SC/BIOL 1000 3.00; SC/BIOL 1001, 3.00; HH/PSYC 1010 6.00","Survey of the key areas of neuroscience including a historic perspective, gross anatomy and histology of the nervous system, development of the nervous system, molecular and cellular neuroscience, and neurological disorders. Introduces methodologies of research and experimentation in neuroscience.",#863234
HH/SC NRSC 1001,Frontiers of Neuroscience,1,Denise Henriques,None,"Introduces the breadth of research directions of faculty members at York University within the field of neuroscience. Familiarizes students with professionalism, research ethics, and explores neuroscience related facilities and organizations in the wider community. Open to: Honours and Specialized Honours BSc students Notes: This course is expected to be completed within the first 30 credits of study but if needed students can be given the opportunity to enroll in this course if they have not yet completed 60 credits.",#863234
HH/SC NRSC 2100,"Systems, Cognitive, and Behavioural Neuroscience",3,Jeffrey Schall,HH/SC NRSC 2000,"Explores the structure and function of the human brain. Topics include the organization of the central nervous system, the function and neural basis of sensory and movement systems, consciousness, language, thought and memory.",#863234
HH/SC NRSC 2200,Neuroscience Techniques,3,Peter Kohler,HH/SC NRSC 2000 or HH/SC NRSC 2100 (CR),"Provides students with an overview of and exposure to experimentation techniques and methodologies in the fields of systems and cognitive, cellular and molecular, and computational and theoretical neuroscience. These could include any of the following: EEG, fMRI, behavioural methods such as psychophysics and eye/body tracking, electrophysiology, patch and dynamic clamp, transgenic mouse technology, molecular imaging, neuronal coding and communication, neuronal networks, and brain-machine interfaces.",#863234
HH/SC NRSC 3000,Molecular and Cellular Neurobiology,3,George R. Zoidl,HH/SC NRSC 2000 and HH/SC NRSC 2100,"Explores the molecular, structural and cellular basis of complex brain functions focusing on perception, learning and memory. Discuss technological advances in areas of genome engineering, optogenetics, imaging and animal models used in the field. Examples of human neurological disease conditions are used whenever appropriate to exemplify the consequences of sensory deficiencies in the nervous system.",#863234
HH/SC NRSC 4000,Neuroscience Individual Research Project,6,Denise Henriques,"HH/SC NRSC 2000 and HH/SC NRSC 2200, see additional requirements.","A Capstone neuroscience research project under the supervision of a neuroscience core/affiliated faculty member. An individual intensive research project engaged in a laboratory, or in the community (industry, hospital), leading to the creation of an original piece of research, final written paper, as well as an oral presentation to the neuroscience community at York.",#863234
SC BIOL1000,"Biology I - Cells, Molecular Biology and Genetics",3,Multiple,OAC or 12U Biology,"An introduction to major unifying concepts and fundamental principles of biology, including evolution and cell theory. Topics include cells, biological energetics, metabolism, cell division and genetics. The laboratory and lecture components must be passed independently to pass the course",#863234
SC BIOL1001,"Biology II - Evolution, Ecology, Biodiversity and Conservation Biology",3,Multiple,OAC or 12U Biology,"A continuation of SC/BIOL 1000 3.00, exploring major unifying concepts and fundamental principles of biology, building on earlier concepts. Topics include mechanisms of evolution, ecology, a survey of biodiversity and conservation biology. The laboratory and lecture components must be passed independently to pass the course",#863234
HH PSYC1010,Introduction to Psychology,6,Multiple,None,"A survey of psychology introducing basic terms, concepts and methods. Included are topics such as biological bases of behaviour, learning, perception, motivation, cognition, child development, personality, and abnormal and social psychology.",#863234
SC MATH1506,Mathematics I for the Biological and Health Sciences,3,Multiple,12U Advanced Functions or SC/Math,"A presentation of functions, systems of linear equations, and an in-depth presentation of single variable differential calculus. Emphasis is placed on basic mathematical skills and their applications.",#863234
SC MATH1507,Mathematics II for the Biological and Health Sciences,3,Multiple,SC MATH1506,"An introduction to single variable integral, probability and statistics. This course is designed to provide a comprehensive mathematical background for students of the biological and social sciences. Students continue to develop basic mathematical skills and applications from SC/MATH 1506.",#863234
HH KINE1000,Sociocultural perspectives in kinesiology,6,Multiple,None,"Introduction to the concept of the 'social body' through study of Western historical legacies and sociological factors of class, gender, 'race', culture with emphasis on sport sociology. Critical reading and research essay skills.",#328683
HH KINE1020,Fitness in Health,3,Multiple,None,An examination of the components and principles of fitness and health with particular attention to the evaluation and modification of fitness and health status.,#328683
HH PSYC3250,Neural basis of behaviour,3,Gary Turner,"HH/PSYC 1010, with a minimum grade of C; HH/PSYC 2240 or HH/NRSC 2100 or SC/NRSC 2100","This course surveys issues concerning the development and localization of cerebral functions, and examines experimental and clinical studies illustrating behavioural effects of brain damage.",#863234
HH KINE2650,Functional Neuroanatomy,3,Marcus Watson,HH/SC NRSC2100,"Investigates the anatomy of the central nervous system, additionally discussing the clinical functional relevance of each area.",#863234
LE EECS 1520/1540/1570,Introduction to Computer Science,3,Multiple," One of (1)-(3) below must be met: (1) (New high school curriculum): One 4U Math course with a grade of at least 75%. (2) Completion of six credits from York University MATH courses (not including courses with second digit 5) with a GPA of 5.00 or better over these credits; (3) Completion of six credits from York University mathematics courses whose second digit is 5, with an average grade not below 7.00 (B+).","This course is an introduction to the concepts and tools of computer science as students learn a procedural subset of the Python programming language. Python has a variety of libraries in different domains allowing for the solution of interesting problems which has made it a popular language in industry and the academy. Students do hands-on work to design, write, debug and test computer programs that solve problems computationally. Students study variables, assignments, expressions (arithmetic, relational and logical) and sequencing of statements to implement solutions for computational problems, in Python. They document programs with comments and preconditions. They analyze the type correctness of programs via a type checker. They use an Integrated Development Environment (IDE) to develop, unit-test and debug programs given a problem specification. They apply conditionals (including nested conditionals) to implement algorithms to solve computational problems. They code functions to develop modular programming solutions for computational problems. They apply Python loops (including nested loops) to implement algorithms to solve computational problems. They apply data structures, including tuples, sets, lists and dictionaries, to implement algorithms to solve computational problems. They code simple recursive functions to implement algorithms to solve computational problems.",#863234
